模块,题目,题型,选项或评分范围
基本信息,1. 你的性别是？,单选,男/女/其他
基本信息,2. 你所在的年级是？,单选,高一/高二/高三/其他
基本信息,3. 你就读的学校类型是？,单选,省重点高中/市重点高中/普通高中/民办高中/职业高中
基本信息,4. 你是否为独生子女？,单选,是/否
基本信息,5. 你的长期居住地属于？,单选,城市市区/县城/乡镇/农村
基本信息,6. 你是否是住校生？,单选,是/否
学业压力与睡眠,7. 你每天平均学习时长（含上课、自习、作业）约为？,单选,少于8小时/8-10小时/10-12小时/12小时以上
学业压力与睡眠,8. 你当前的学业压力程度如何？,评分（1-5）,1=完全没有压力/2=压力较轻/3=中等压力/4=压力较大/5=压力极大
学业压力与睡眠,9. 你面临考试时的焦虑程度如何？,评分（1-5）,1=完全不焦虑/2=不太焦虑/3=一般/4=比较焦虑/5=非常焦虑
学业压力与睡眠,10. 你平均每晚的睡眠时长约为？,单选,不足5小时/5-6小时/6-7小时/7-8小时/8小时以上
学业压力与睡眠,11. 你对自己的睡眠质量如何评价？,评分（1-5）,1=很差/2=较差/3=一般/4=较好/5=很好
学业压力与睡眠,12. 影响你睡眠的主要原因是什么？（可多选）,多选,学业压力大/熬夜学习或刷题/使用电子产品（手机/游戏等）/寝室或家庭环境干扰/心理焦虑失眠/无睡眠问题/其他
学业压力与睡眠,13. 你对自己的成绩有怎样的自我要求？,单选,要求很高，必须名列前茅/要求较高，希望中上水平/要求一般，中等即可/要求较低，及格就好/无所谓
心理支持,14. 你是否了解学校提供的心理咨询服务？,单选,非常了解/基本了解/听说过但不太了解/完全不了解
心理支持,15. 你是否有意愿使用学校的心理咨询服务？,单选,非常愿意/比较愿意/不确定/不太愿意/完全不愿意
心理支持,16. 如果不愿意使用心理咨询服务，主要原因是什么？（可多选）,多选,担心被同学或老师知道/觉得没有什么效果/不知道预约和咨询流程/觉得问题不严重不需要/担心被贴上"心理有问题"的标签/更愿意自己消化或找朋友倾诉/其他
心理支持,17. 当你遇到心理困扰时，首先会向谁求助？,单选,父母/同学或朋友/班主任或老师/学校心理老师/兄弟姐妹/自己承受不求助/网络或AI工具
心理支持,18. 你认为学校对学生心理健康的重视程度如何？,评分（1-5）,1=完全不重视/2=不太重视/3=一般/4=比较重视/5=非常重视
心理支持,19. 你是否参加过学校组织的心理健康课程或活动？,单选,经常参加/参加过几次/参加过一次/从未参加
心理支持,20. 你最希望学校提供哪些心理支持服务？（可多选）,多选,定期心理健康课程/一对一心理咨询/压力管理团体辅导/考前心理辅导/心理健康知识讲座/匿名倾诉热线或信箱/心理健康主题活动（如心理剧）/其他
家庭因素,21. 你与父母的关系整体如何？,评分（1-5）,1=非常紧张/2=比较紧张/3=一般/4=比较融洽/5=非常融洽
家庭因素,22. 家长对你考试成绩的关注程度如何？,评分（1-5）,1=完全不关注/2=不太关注/3=一般/4=比较关注/5=过度关注，带来很大压力
家庭因素,23. 家长对你心理健康的关注程度如何？,评分（1-5）,1=完全不关注/2=不太关注/3=一般/4=比较关注/5=非常关注
家庭因素,24. 你认为父母对你的教育方式主要属于？,单选,民主型（尊重理解，平等沟通）/专制型（要求严格，较少听取意见）/溺爱型（过度保护，有求必应）/放任型（较少管束，各自独立）/冷漠型（缺乏关心和交流）
家庭因素,25. 你认为你的家庭氛围整体如何？,单选,非常融洽和谐/比较融洽/一般/比较紧张/非常紧张压抑
家庭因素,26. 你与父母每周沟通交流（除日常事务外）的频率约为？,单选,每天都会深入交流/每周3-5次/每周1-2次/几乎没有深入交流
社交与情绪,27. 近期你经常出现以下哪些情绪状态？（可多选）,多选,心情愉快/平静稳定/焦虑紧张/情绪低落/烦躁易怒/孤独寂寞/迷茫无助/恐惧害怕/其他
社交与情绪,28. 你最近两周的情绪稳定性如何？,评分（1-5）,1=非常不稳定，经常大起大落/2=不太稳定/3=一般/4=比较稳定/5=非常稳定，情绪平稳
社交与情绪,29. 你当前主要的心理困扰来源是什么？（可多选，限3项）,多选,学业压力/考试焦虑/睡眠不足/自我期望过高/社交困扰/亲子沟通困难/未来迷茫/外貌或身体形象/同伴竞争/家庭经济压力/其他
社交与情绪,30. 你与同学/朋友之间的关系如何？,评分（1-5）,1=非常差，几乎没有朋友/2=较差，朋友很少/3=一般，有一些朋友/4=较好，朋友较多/5=非常好，有知心朋友
社交与情绪,31. 你在学校是否经常感到孤独？,单选,总是感到孤独/经常感到孤独/有时感到孤独/很少感到孤独/从不感到孤独
社交与情绪,32. 请你对自己目前的整体心理状态打分,评分（1-10）,1-2=非常差，需要帮助/3-4=较差/5-6=一般/7-8=较好/9-10=非常好
开放性问题,33. 你希望学校在心理健康方面提供哪些帮助或支持？请写下你的真实想法。,文本,开放回答
开放性问题,34. 你认为学校现有的心理健康课程或服务中最需要改进的地方是什么？,文本,开放回答
开放性问题,35. 你还有其他想说的话或建议吗？（关于学习、生活、心理等方面均可）,文本,开放回答
